,positions,locations,company_names,posted_dates,descriptions
11,Data Scientist,,Motion Recruitment,Posted 38 days ago,"Seeking a Data Scientist to join an enterprise analytics team. You would be formulating business problems to build end-to-end analytics solutions. Collaboration with data scientists, data engineers, product owners, and business experts to support entire data lifecycle. Responsibilities Cross function to define, collect, and wrangle data Build and deploy machine learning models and make recommendations Communicate findings to technical and nontechnical audiences Coach and mentor junior team membe"
12,Principal Data Scientist,Remote,Jones Grove IT Recruiting,Posted 60+ days ago,"Principal Data Scientist Full time-Direct Hire Remote (EST hours) As a Principal Data Scientist, you will be part of the newly formed Data Science and Advanced Analytics team, which is responsible for delivering machine learning and statistical modeling capabilities and using them to solve business problems across. You will serve as the subject matter of expert on data science internally and externally. Your responsibility includes, but not limit to, developing and applying the state-of-the-ar"
13,Entry Level Data Scientist,"Los Angeles, CA, USA",SynergisticIT,Posted 25 days ago,About Us: Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology. Job description Good understanding of the below models Identify valuable data sources an
14,Sr Data Scientist,Remote,SHOP.COM / Market America,Posted 20 days ago,"Market America Worldwide – Shop.com, a global e-commerce and digital marketing company that specializes in one-to-one marketing, is seeking a top-notch Senior Data Scientist to join our team. Remote opportunity can be available to candidates based in states of CA, NC, FL, NY, CT, or WI. Position Summary As Data Scientist you will have an important role in helping millions of customers on our SHOP.COM and Market America Worldwide multi-country and multi-language global eCommerce websites."
15,Senior Data Scientist,"Rockville, MD, USA",Hendall Inc,Posted 21 days ago,"OVERVIEW Hendall is currently seeking a Data Scientist / Senior Data Scientist, with experience in applying Natural Language Processing (NLP) / Machine Learning (ML) / Artificial Intelligence (AI) for processing and analyzing behavioral health or healthcare data, to join a project team supporting SAMHSA's Behavioral Health Services Information System (BHSIS). In December 2016, the 21st Century Cures Act (Cures Act) was signed into law and codified CBHSQ. CBHSQ conducts national surveys tracking"
16,Data Scientist/ Data Analyst (Remote),"Los Angeles, CA, USA",SynergisticIT,Posted 13 days ago,"SYNERGISTICIT wants every candidate to know that the Job Market is Challenging and to stand out you need to have exceptional skills and technologies and that's where we come in to make sure you get the attention which you needPosition open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped thousands of candidates get jobs at technology clients like apple, google, Payp"
17,Data Scientist with Healthcare,Remote,DynPro Inc.,Posted 14 days ago,"Role: Data Scientist with Healthcare Duration Long/term Responsibilities and Accountabilities Integrate disparate data sets, conduct exploratory analysis, and create actionable insights for quality assurance and patient care improvement. Transfer and streamline existing healthcare data flows with focus on automation of processes wherever possible Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts (Python) that will make data evaluation processe"
18,Data Scientist,Remote,Connexions Data Inc,Posted 60+ days ago,"Data Scientist Start: Immediate Location: DC (Remote ) Type: W2 with benefits Position Description: Join us to support the survey research activities by providing data science and ML products using data wrangling, data mining, machine learning methods for predictive models, and NLP's such as text mining and modeling, web scraping, and data visualization with a goal to enhance the effectiveness and quality of analyzing surveys. Responsibilities: Assist with design, and implement ML and data"
19,Data Scientist,"Johnston, IA, USA",Apex Systems,Posted 40 days ago,"Job#: 1311062 Job Description: Apex Systems is looking for a Data Scientist for one of our local candidates. If interested, please send your resume to Responsibilities: Work hands-on along with team members to deliver the portfolio of projects aligned to supply chain analytics needsIdentify, acquire, and engineer feature data sets with potential to address customer needsLeverage data science and data engineering resources, capabilities, and best practicesApply machine learning/statistical model"
0,Data Scientist,"Lincoln, RI, USA",Apex Systems,Posted 41 days ago,"Job#: 1305197 Job Description: REQ INTAKE TEMPLATE Number of openings:1Bill Rate? Flexibility? $130k PERM (some flex)Location? REMOTE?:REMOTEDuration: PERMQualified? By who? Matty B, Molly A and Alex LReq Classification (A/B/C): B f/u RR If A or B, what are the timelines that are ACCEPTED on the manager's calendar?Resume review (date & time)?:Interview times (date & times)Interview follow up (date & time, must be set if we have interview times set!):If a B req, who is our competition and when d"
